Patentnumber;Similarity (DSS-Inclusion);Science-driven novelty dummy
US6850824;0.004357298;1
US6850859;0.002275313;1
US6851610;0.09130435;1
US6851615;0;0
US6851617;0.01035197;1
US6853286;0.005175984;1
US6853303;0;0
US6853345;0.04242424;1
US6853347;0.03526735;1
US6853583;0.05060423;1
US6853739;0.01527778;1
US6853894;0;0
US6855951;0.002178649;1
US6856291;0.03204272;1
US6857566;0.003144654;1
US6857570;0.1036514;1
US6859093;0.09736541;1
US6859190;0.05518764;1
US6859745;0;0
US6859757;0.002699055;1
US6860092;0.005474452;1
US6860422;0.01210428;1
US6861664;0;0
US6861954;0.03174603;1
US6861993;0.03174603;1
US6863216;0.08902691;1
US6863220;0.01548822;1
US6863364;0;0
US6863377;0.002398082;1
US6863755;0.01851852;1
US6863756;0.03333334;1
US6863841;0.09700674;1
US6863955;0.002178649;1
US6864396;0.1057971;1
US6864435;0;0
US6864849;0.004140787;1
US6866195;0;0
US6866461;0.002178649;1
US6867983;0.08476821;1
US6868804;0.006156552;1
US6869013;0;0
US6869020;0.02277433;1
US6869021;0.07125604;1
US6871436;0.002070393;1
US6872801;0.1122995;1
US6873248;0.005159959;1
US6874639;0.06243706;1
US6876902;0.002070393;1
US6877662;0.1242236;1
US6877663;0;0
US6878052;0.002070393;1
US6878930;0.004651163;1
US6879257;0;0
US6879258;0.009259259;1
US6879424;0.03328835;1
US6880756;0.1216931;1
US6880992;0.007366483;1
US6882268;0;0
US6882276;0;0
US6882284;0.002178649;1
US6882356;0.03350084;1
US6882737;0.007064868;1
US6882897;0.002325581;1
US6883561;0;0
US6883710;0;0
US6883718;0;0
US6885032;0.01656315;1
US6885054;0.007898894;1
US6885354;0;0
US6885968;0.03068634;1
US6885996;0;0
US6886651;0.002178649;1
US6887556;0;0
US6888458;0;0
US6888459;0.01770593;1
US6888502;0.004140787;1
US6889165;0.004140787;1
US6889455;0;0
US6890868;0.1405623;1
US6891473;0.005633803;1
US6891474;0;0
US6892052;0.01557632;1
US6892947;0.1722689;1
US6894542;0.009920635;1
US6894711;0.06359649;1
US6895301;0;0
US6895310;0;0
US6895330;0;0
US6895655;0.02393162;1
US6896171;0;0
US6897164;0.1152263;1
US6897284;0.002178649;1
US6897374;0;0
US6897571;0;0
US6897763;0.01584699;1
US6898489;0.002178649;1
US6899476;0.002325581;1
US6899626;0.002178649;1
US6900536;0.01670844;1
US6900762;0.002070393;1
US6901304;0;0
US6902110;0.002325581;1
US6902111;0.01327014;1
US6902136;0.008714597;1
US6903436;0.006976744;1
US6903656;0.006144393;1
US6903662;0.02093398;1
US6903704;0.01352265;1
US6904000;0.01017812;1
US6905135;0;0
US6905391;0.004357298;1
US6906615;0.00625;1
US6906624;0.003615329;1
US6908033;0.008281574;1
US6908034;0.003522677;1
US6908036;0.03855721;1
US6909326;0;0
US6909371;0;0
US6909373;0.002178649;1
US6909399;0.006369427;1
US6909721;0.02668938;1
US6909986;0.03577236;1
US6911910;0.01333333;1
US6912766;0;0
US6913192;0;0
US6913199;0.03356481;1
US6913202;0.2023121;1
US6913477;0;0
US6913710;0;0
US6914528;0.02403846;1
US6914529;0.004796163;1
US6914562;0.0148857;1
US6915050;0;0
US6915551;0.002070393;1
US6915954;0.002070393;1
US6916128;0.002070393;1
US6916295;0.0121356;1
US6917288;0;0
US6917291;0.01439646;1
US6917292;0;0
US6917853;0.002325581;1
US6918258;0.01169591;1
US6918483;0;0
US6918541;0;0
US6919802;0;0
US6919803;0.01089325;1
US6919807;0;0
US6920330;0;0
US6922059;0.008739077;1
US6922146;0.01117318;1
US6922173;0.004357298;1
US6922734;0.008393286;1
US6923374;0.173913;1
US6924473;0;0
US6924521;0;0
US6924688;0.09255393;1
US6924691;0.09752839;1
US6924773;0.02246181;1
US6924777;0.003988604;1
US6924999;0.01509662;1
US6925701;0.01190476;1
US6926202;0;0
US6927687;0.002070393;1
US6927738;0;0
US6928694;0.004357298;1
US6929412;0.005789909;1
US6930296;0.006604507;1
US6930702;0;0
US6930820;0.004651163;1
US6932077;0.04138703;1
US6932272;0.002325581;1
US6932891;0;0
US6933774;0.269045;1
US6933848;0;0
US6933849;0.09039548;1
US6933850;0.03030303;1
US6934644;0.07077625;1
US6935558;0;0
US6935560;0.07230392;1
US6935713;0;0
US6935958;0;0
US6937152;0.002178649;1
US6937153;0.007092198;1
US6938200;0.006259781;1
US6938821;0;0
US6940393;0.03073286;1
US6940408;0.08744132;1
US6940467;0.02376812;1
US6940940;0.002178649;1
US6941184;0;0
US6942122;0;0
US6942123;0;0
US6942155;0.02347418;1
US6942158;0.03050109;1
US6942403;0;0
US6943275;0;0
US6943683;0.002178649;1
US6943688;0.002325581;1
US6943725;0;0
US6944437;0.008069522;1
US6944457;0.01809955;1
US6944547;0;0
US6944990;0.01656315;1
US6945527;0;0
US6945713;0.009408602;1
US6946951;0.01978973;1
US6947371;0;0
US6947777;0;0
US6948344;0;0
US6948655;0;0
US6948659;0.1674009;1
US6949762;0.0307971;1
US6950008;0;0
US6950009;0.01872659;1
US6950028;0.009500206;1
US6950342;0.04511743;1
US6951305;0.00618238;1
US6951596;0.002070393;1
US6951666;0.06271777;1
US6952157;0;0
US6952560;0.0201005;1
US6953151;0.1668438;1
US6953152;0.1881481;1
US6953207;0;0
US6953919;0;0
US6953957;0;0
US6954148;0.002178649;1
US6955067;0.008849557;1
US6956472;0;0
US6956509;0.02108844;1
US6956538;0.008990319;1
US6957333;0.07570978;1
US6957393;0.07545702;1
US6957767;0.004357298;1
US6957775;0.002070393;1
US6957777;0.002325581;1
US6958451;0.05194805;1
US6958678;0.002178649;1
US6958696;0.04719764;1
US6958697;0.05010893;1
US6958698;0;0
US6958707;0.02230259;1
US6959229;0.004357298;1
US6959862;0.01058201;1
US6959868;0.1092033;1
US6959869;0.1495327;1
US6960643;0;0
US6961000;0.002070393;1
US6961285;0.004140787;1
US6962289;0.06879195;1
US6962292;0;0
US6963269;0.04127967;1
US6963277;0.007861636;1
US6963282;0;0
US6963289;0.002070393;1
US6963295;0.04874835;1
US6963317;0;0
US6963351;0.004140787;1
US6964370;0;0
US6965294;0.007936508;1
US6965371;0;0
US6965816;0.00621118;1
US6966076;0.002070393;1
US6967280;0;0
US6967348;0.08394013;1
US6967428;0;0
US6967563;0.01578283;1
US6967564;0;0
US6967566;0;0
US6967577;0;0
US6967579;0;0
US6968406;0.04129793;1
US6968974;0.002070393;1
US6968994;0;0
US6969001;0.1382114;1
US6969134;0.02994944;1
US6970070;0.002178649;1
US6970088;0;0
US6970089;0;0
US6970092;0;0
US6970100;0;0
US6970131;0.002178649;1
US6970141;0.04195482;1
US6970518;0.07038513;1
US6970574;0.01678657;1
US6971200;0;0
US6971506;0;0
US6971575;0.1559305;1
US6971576;0.1294299;1
US6971577;0.2018678;1
US6971808;0;0
US6971895;0;0
US6972394;0.08294931;1
US6972682;0;0
US6973243;0;0
US6973710;0;0
US6973716;0.02485004;1
US6973838;0;0
US6974391;0;0
US6974782;0.003703704;1
US6975206;0.002070393;1
US6975229;0;0
US6975233;0.004357298;1
US6975765;0.02262443;1
US6975832;0.008714597;1
US6975915;0;0
US6975922;0.002178649;1
US6976589;0.002178649;1
US6976634;0.005363984;1
US6976900;0;0
US6977579;0;0
US6977612;0.005873715;1
US6978118;0.006535948;1
US6978935;0.188664;1
US6978936;0.1594203;1
US6980087;0.04209622;1
US6980100;0.002325581;1
US6980101;0;0
US6980111;0.006613757;1
US6982190;0.007305936;1
US6982452;0.1106821;1
US6982453;0;0
US6982627;0;0
US6982640;0;0
US6982653;0.002325581;1
US6983124;0;0
US6983884;0.06303725;1
US6984446;0.05843294;1
US6985119;0.01067616;1
US6985122;0.002325581;1
US6985361;0.02794654;1
US6985673;0.006535948;1
US6985870;0.005481329;1
US6986418;0;0
US6986826;0;0
US6987451;0;0
US6987454;0;0
US6987478;0.005148005;1
US6988026;0.02194357;1
US6988071;0.004357298;1
US6988296;0;0
US6988658;0.03;1
US6988660;0.1301989;1
US6988661;0.1340286;1
US6989697;0.0226435;1
US6989741;0.01896552;1
US6989749;0.02010234;1
US6989750;0.01460481;1
US6989796;0;0
US6990391;0;0
US6990421;0.0125092;1
US6990945;0.002325581;1
US6991165;0.110044;1
US6991166;0.2486002;1
US6991175;0;0
US6992167;0;0
US6992566;0;0
US6992574;0;0
US6992592;0.01329243;1
US6992594;0;0
US6992952;0.02372336;1
US6994252;0.00912937;1
US6994253;0;0
US6994262;0.02314397;1
US6995655;0;0
US6995673;0;0
US6995674;0;0
US6995675;0.002178649;1
US6996340;0.007889546;1
US6996402;0.02078693;1
US6997377;0;0
US6997386;0.1627842;1
US6997388;0.02417962;1
US6997629;0.004357298;1
US6998068;0.002178649;1
US6998541;0.002178649;1
US6998956;0.01504891;1
US6998965;0;0
US6998978;0;0
US6998987;0;0
US6999028;0.05506391;1
US6999327;0.02918587;1
US6999797;0.002070393;1
US7000549;0;0
US7000692;0;0
US7000832;0;0
US7000837;0;0
US7000951;0;0
US7001366;0;0
US7002451;0.003494976;1
US7002461;0.004357298;1
US7002472;0.02411714;1
US7002473;0.002178649;1
US7002474;0;0
US7002475;0.009302326;1
US7002476;0.02805611;1
US7003374;0.09327846;1
US7003680;0;0
US7003814;0;0
US7004112;0.03601695;1
US7004385;0;0
US7004398;0.002398082;1
US7004621;0.002325581;1
US7005672;0.01376147;1
US7005905;0.005376344;1
US7005961;0;0
US7005964;0;0
US7005965;0.08974359;1
US7005984;0.01718213;1
US7005986;0.03428571;1
US7005987;0.01726428;1
US7005988;0;0
US7006009;0.003177966;1
US7006039;0.002325581;1
US7006048;0;0
US7006884;0;0
US7006946;0;0
US7007841;0;0
US7008500;0;0
US7009181;0.02144928;1
US7009494;0;0
US7009495;0.002070393;1
US7009496;0.01221001;1
US7009501;0.002178649;1
US7009518;0.01558753;1
US7009519;0;0
US7009526;0.02568053;1
US7009576;0;0
US7010369;0.008714597;1
US7010647;0.003051106;1
US7010899;0;0
US7011245;0;0
US7012433;0.06426735;1
US7012504;0.002325581;1
US7012520;0.004357298;1
US7012528;0;0
US7012529;0;0
US7012547;0;0
US7013290;0.00621118;1
US7014103;0;0
US7014112;0;0
US7014117;0.002325581;1
US7014729;0.04954955;1
US7015479;0;0
US7015802;0.002070393;1
US7015811;0;0
US7015817;0;0
US7015826;0.02882997;1
US7016714;0.006976744;1
US7016744;0.003753754;1
US7017404;0.009411764;1
US7017805;0.004357298;1
US7017807;0.005050505;1
US7017808;0.02027575;1
US7017822;0.007947639;1
US7018129;0;0
US7018361;0.02334063;1
US7019617;0.01652892;1
US7019618;0.02530044;1
US7019639;0.04266667;1
US7019640;0;0
US7019650;0.04972376;1
US7019651;0;0
US7020494;0.02714646;1
US7020497;0;0
US7020508;0.01216406;1
US7021092;0;0
US7021535;0;0
US7022012;0.002325581;1
US7023341;0.01742919;1
US7023342;0.02564103;1
US7023344;0;0
US7023346;0.07896323;1
US7023347;0;0
US7023817;0.002614379;1
US7024807;0.01879327;1
US7025061;0.01171352;1
US7025254;0;0
US7025259;0;0
US7025263;0;0
US7026646;0.0593343;1
US7026934;0.002178649;1
US7026935;0;0
US7026936;0.003787879;1
US7026939;0.009049774;1
US7026941;0;0
US7026954;0.08240626;1
US7027623;0.02827381;1
US7028018;0.004140787;1
US7028687;0;0
US7028826;0;0
US7028861;0.02357635;1
US7028896;0.002178649;1
US7029009;0;0
US7029400;0;0
US7030731;0.007058823;1
US7030732;0.002070393;1
US7030736;0.004651163;1
US7030760;0;0
US7030761;0.06568144;1
US7030762;0.03656821;1
US7030786;0.02057613;1
US7030815;0.07331821;1
US7030828;0.004397538;1
US7031182;0.08422939;1
US7031801;0.01473684;1
US7032418;0;0
US7032492;0;0
US7032814;0.004357298;1
US7032816;0.0406504;1
US7032820;0;0
US7032822;0.01339286;1
US7034174;0.07642726;1
US7034403;0.002178649;1
US7034660;0.004140787;1
US7034678;0.0113438;1
US7034684;0;0
US7034685;0;0
US7034689;0.004651163;1
US7034741;0;0
US7035168;0;0
US7035714;0;0
US7035877;0.0292517;1
US7036729;0.002398082;1
US7036734;0;0
US7037009;0;0
US7038470;0.04213504;1
US7038573;0.004357298;1
US7038582;0.004651163;1
US7038587;0;0
US7038619;0;0
US7038985;0.002325581;1
US7039440;0.02029427;1
US7039522;0.004357298;1
US7039628;0.002702703;1
US7039672;0.04847278;1
US7040139;0.01;1
US7040494;0;0
US7040532;0;0
US7040533;0.002325581;1
US7040566;0.00675429;1
US7040987;0.002070393;1
US7041439;0;0
US7041915;0.02375389;1
US7042333;0;0
US7042336;0.04700855;1
US7042346;0.008123477;1
US7042353;0;0
US7042357;0;0
US7042358;0.0828419;1
US7042359;0.009276438;1
US7042360;0.02228164;1
US7042413;0.003072197;1
US7043011;0;0
US7043166;0;0
US7044354;0.03588291;1
US7044370;0;0
US7044371;0.05483406;1
US7044374;0.002387775;1
US7044383;0.002178649;1
US7044387;0;0
US7045186;0.088;1
US7045996;0.04561403;1
US7046137;0.04492754;1
US7046145;0;0
US7046150;0;0
US7046899;0;0
US7047103;0;0
US7047159;0;0
US7047205;0.006302521;1
US7048179;0;0
US7048183;0.01815182;1
US7048184;0;0
US7048366;0;0
US7048629;0.009009009;1
US7048687;0;0
US7049629;0.002178649;1
US7049958;0.00940171;1
US7049961;0.0137457;1
US7049963;0;0
US7049964;0.03239391;1
US7049965;0.004028197;1
US7049966;0;0
US7050007;0;0
US7050017;0.01279591;1
US7050293;0.03044316;1
US7050897;0.005028736;1
US7050938;0.008417509;1
US7051429;0.07107438;1
US7051925;0;0
US7051945;0.01766784;1
US7052391;0.002070393;1
US7053524;0;0
US7053755;0.03939962;1
US7053764;0.01445966;1
US7053769;0;0
US7053771;0.003831418;1
US7053773;0;0
US7053775;0.004140787;1
US7053776;0;0
US7053777;0;0
US7053830;0;0
US7053854;0.004748338;1
US7054595;0;0
US7055458;0;0
US7055741;0;0
US7055750;0;0
US7055754;0.005621136;1
US7055756;0.006427915;1
US7056048;0.03792415;1
US7056050;0;0
US7057492;0.009602195;1
US7057509;0;0
US7057511;0.007662835;1
US7057512;0.01525054;1
US7057513;0.01;1
US7057514;0.01904762;1
US7057562;0.008879782;1
US7057917;0;0
US7058585;0;0
US7058710;0.002070393;1
US7059248;0;0
US7059275;0.0153417;1
US7059515;0.003333333;1
US7059518;0.007201646;1
US7059524;0.1801242;1
US7059531;0.002325581;1
US7060510;0.007194245;1
US7060846;0;0
US7061366;0;0
US7061376;0;0
US7061379;0;0
US7061380;0.002840909;1
US7061381;0.002070393;1
US7061382;0;0
US7061516;0.00727802;1
US7062262;0;0
US7062628;0;0
US7063148;0.0662347;1
US7063232;0;0
US7063256;0.009584664;1
US7063263;0.002325581;1
US7063264;0.04909561;1
US7063265;0;0
US7064345;0.004140787;1
US7064372;0;0
US7064653;0.002178649;1
US7064668;0;0
US7066112;0;0
US7066256;0;0
US7066314;0.02669777;1
US7066388;0.005661712;1
US7066391;0.2235218;1
US7066393;0.004357298;1
US7066667;0;0
US7066754;0.02728351;1
US7067328;0.01264679;1
US7067867;0.04526749;1
US7068030;0.02808989;1
US7068148;0;0
US7068149;0;0
US7068168;0.01816239;1
US7068169;0.01535088;1
US7068170;0;0
US7068173;0.003787879;1
US7068224;0;0
US7068237;0;0
US7069160;0.003293808;1
US7069251;0.00672043;1
US7069856;0;0
US7070053;0.01515152;1
US7070091;0;0
US7070099;0.05405406;1
US7070110;0.05116279;1
US7070111;0;0
US7070112;0.01398601;1
US7070114;0;0
US7070668;0;0
US7071417;0;0
US7071815;0;0
US7071825;0;0
US7071826;0;0
US7072163;0.00617284;1
US7072587;0;0
US7072593;0.08048433;1
US7072672;0.02262235;1
US7072864;0.009918069;1
US7073268;0.01373283;1
US7073709;0.008532424;1
US7073712;0;0
US7075284;0;0
US7075412;0.002178649;1
US7075413;0;0
US7075434;0;0
US7075436;0.00621118;1
US7075437;0.005608974;1
US7075901;0.01035197;1
US7076083;0.03279786;1
US7076329;0.01372549;1
US7076608;0;0
US7076858;0;0
US7077290;0.01639344;1
US7077400;0;0
US7077489;0.01777778;1
US7078304;0;0
US7078666;0.005542359;1
US7078761;0.02880658;1
US7078937;0;0
US7079008;0;0
US7079009;0;0
US7079020;0.002325581;1
US7079023;0.07503608;1
US7079034;0.01431493;1
US7079043;0.008341056;1
US7079084;0;0
US7079832;0.007874016;1
US7079921;0.03018868;1
US7079978;0;0
US7080435;0.002325581;1
US7080593;0.0130719;1
US7080755;0.0105364;1
US7080777;0.006976744;1
US7080778;0.004651163;1
US7080882;0;0
US7081028;0;0
US7081693;0.03395586;1
US7081724;0;0
US7081804;0;0
US7081815;0.002178649;1
US7081818;0;0
US7081819;0.002178649;1
US7081864;0.04666667;1
US7082359;0.002398082;1
US7082415;0;0
US7082444;0;0
US7082970;0;0
US7083083;0;0
US7083085;0;0
US7083087;0;0
US7083104;0;0
US7083106;0;0
US7083578;0;0
US7083848;0;0
US7084357;0.03135313;1
US7084605;0.02096436;1
US7084640;0.002398082;1
US7084730;0;0
US7084740;0;0
US7084756;0.03557618;1
US7084767;0;0
US7084768;0.02756892;1
US7084769;0.005877414;1
US7084770;0;0
US7085614;0;0
US7085637;0.01265823;1
US7085679;0.002325581;1
US7086073;0.004545454;1
US7086587;0;0
US7086593;0.009302326;1
US7086672;0;0
US7088145;0.06826742;1
US7088226;0.02141204;1
US7088229;0;0
US7088233;0.007437458;1
US7088242;0;0
US7088245;0;0
US7088246;0.003072197;1
US7088248;0.05747126;1
US7088304;0.0339196;1
US7088964;0.004728132;1
US7089089;0.05096726;1
US7089099;0;0
US7090122;0;0
US7090125;0;0
US7090133;0.1698795;1
US7090134;0.01097804;1
US7090791;0.04033614;1
US7091120;0;0
US7091827;0.01890756;1
US7091828;0.03820439;1
US7091840;0.004651163;1
US7091841;0;0
US7091851;0.01187825;1
US7091852;0;0
US7091859;0;0
US7091860;0.00308642;1
US7091861;0.05587669;1
US7091863;0;0
US7092002;0.006976744;1
US7092160;0.09090909;1
US7092796;0.0705623;1
US7092815;0.002325581;1
US7093345;0;0
US7093479;0;0
US7093693;0.002325581;1
US7093756;0;0
US7093767;0.004651163;1
US7094164;0.01035197;1
US7094365;0.01234568;1
US7094627;0;0
US7095324;0;0
US7095372;0.002398082;1
US7096089;0.02795031;1
US7096090;0.008359456;1
US7096151;0.04481793;1
US7096279;0;0
US7096894;0.06120219;1
US7097098;0.004651163;1
US7097099;0.0171969;1
US7097106;0.0681351;1
US7097108;0.002325581;1
US7097229;0;0
US7097662;0;0
US7098394;0.002290951;1
US7098525;0.003284072;1
US7098769;0.01085776;1
US7098784;0;0
US7098787;0.002624672;1
US7098792;0;0
US7098794;0;0
US7098850;0.08217593;1
US7099728;0.01256467;1
US7099745;0;0
US7100052;0;0
US7100432;0.01668753;1
US7100817;0.002178649;1
US7100827;0.01576577;1
US7100835;0;0
US7102155;0;0
US7102409;0.01622971;1
US7102499;0;0
US7102509;0.004651163;1
US7102518;0;0
US7102519;0;0
US7102520;0.1028037;1
US7102521;0;0
US7102522;0.006730769;1
US7102523;0;0
US7102524;0;0
US7102525;0;0
US7102526;0.002325581;1
US7102587;0.004651163;1
US7103087;0.005678592;1
US7103344;0;0
US7103433;0;0
US7103460;0;0
US7103510;0;0
US7103948;0.002849003;1
US7104437;0;0
US7104439;0.002911208;1
US7104447;0.01008192;1
US7104458;0.004504505;1
US7104644;0.007007007;1
US7104851;0;0
US7105223;0;0
US7105428;0;0
US7105809;0.03813883;1
US7106173;0.02694136;1
US7106189;0;0
US7106196;0;0
US7106198;0;0
US7106199;0;0
US7106202;0;0
US7106266;0;0
US7106513;0.2121212;1
US7107009;0.009726899;1
US7107022;0.05347222;1
US7107457;0.004357298;1
US7107836;0.01898734;1
US7107936;0.002547771;1
US7108177;0.005175984;1
US7108761;0;0
US7109072;0;0
US7109519;0.002178649;1
US7109845;0;0
US7109864;0;0
US7109866;0.006908463;1
US7109867;0.00340136;1
US7109868;0.006124234;1
US7109934;0.07517309;1
US7109986;0.0317757;1
US7110576;0;0
US7110792;0;0
US7110880;0;0
US7111775;0;0
US7111782;0.002325581;1
US7111817;0.002325581;1
US7112001;0;0
US7112132;0;0
US7112138;0.02960694;1
US7112356;0;0
US7112365;0;0
US7112649;0;0
US7112952;0.003717472;1
US7113088;0;0
US7113091;0;0
US7113094;0;0
US7113125;0;0
US7113130;0;0
US7113839;0;0
US7114654;0;0
US7114655;0;0
US7114659;0;0
US7114718;0.004357298;1
US7115755;0.08225108;1
US7116212;0.002178649;1
US7116213;0.0362117;1
US7116222;0;0
US7116227;0;0
US7116228;0.009499136;1
US7116229;0;0
US7116230;0.0257732;1
US7116240;0.01208981;1
US7116709;0.02624672;1
US7116773;0;0
US7117075;0.004796163;1
US7117121;0.002325581;1
US7117581;0.002070393;1
US7118029;0.002325581;1
US7118034;0;0
US7118036;0;0
US7118037;0;0
US7118692;0.002331002;1
US7119352;0.0576324;1
US7119658;0;0
US7119659;0.01584284;1
US7119664;0;0
US7119683;0;0
US7119685;0;0
US7119686;0.002325581;1
US7119687;0;0
US7119688;0;0
US7119689;0;0
US7119690;0;0
US7119692;0.03130755;1
US7119693;0.02025783;1
US7119736;0.02323232;1
US7119738;0.05405406;1
US7119822;0.006097561;1
US7120550;0.01378751;1
US7120987;0;0
US7121177;0;0
US7121457;0;0
US7121461;0;0
US7121467;0.01025163;1
US7121470;0.0243309;1
